INFO:root:Error merge: ['name', 'code', 'color', 'hight', 'img_name', 'price', 'country']
INFO:root:Error merge: ['АЛЕХАНДРО', '1908', 'черный', '300', 'eb4f848510c88e9f4be4f9f4d38fe431.jpg', '', '']
INFO:root:Error merge: ['АСИЕНДА', '3144', 'ваниль', '280', '89ffd4ee4243143acb3452d7724cc9fd.png', '', '']
INFO:root:Error merge: ['АСИЕНДА', '4081', 'розовый', '280', 'aa56d4997f38de6d837c04aa087d50df.png', '', '']
INFO:root:Error merge: ['АСИЕНДА', '5150', 'голубой', '280', 'd4b7d52833e950e05c5ce2fb63051639.png', '', '']
INFO:root:Error merge: ['БЛАНШ ', '225', 'белый', '235', 'cd06bc1633d3e9348546ddfd16ebdd8b.png', '', '']
INFO:root:Error merge: ['БЛАНШ ', '1852', 'серый', '230', '5746dcbbfad261ada1e77b43b19e3fab.png', '', '']
INFO:root:Error merge: ['БОЛГАРСКАЯ роза', '4059', 'розовый', '200', '16ab69cb279dfbd94d51f4f103c7a56e.jpg', '', '']
INFO:root:Error merge: ['ГАЛА BLACK-OUT', '225', 'белый', '230', '2905cafbe83d9f4ecbe77be4c4042c38.jpg', '', '']
INFO:root:Error merge: ['ГАЛА BLACK-OUT', '1852', 'серый', '230', '61d7b1393c1131b49d073f7d41849f22.jpg', '', '']
INFO:root:Error merge: ['ГАЛА BLACK-OUT', '2261', 'св. бежевый', '230', '9411cb98f6478abfce8bae1de4879c14.jpg', '', '']
INFO:root:Error merge: ['ГАЛА BLACK-OUT', '2406', 'бежевый', '230', 'e2d5b342386238b3a19757a2025b729d.jpg', '', '']
INFO:root:Error merge: ['Китайская роза', '2870', 'коричневый', '200', 'ffb427669d4a9e98b5c1f67454688df8.png', '', '']
INFO:root:Error merge: ['КРИС', '225', 'белый', '220', 'ec7f13af2cd808f97391fb0a2c0c3369.jpg', '', '']
INFO:root:Error merge: ['КРИС', '1608', 'св. серый', '220', '3ce329f1c25f0a063a2e584ac23a6561.jpg', '', '']
INFO:root:Error merge: ['КРИС', '1852', 'серый', '220', '60ef807a6092a519acad8678b9d492d5.jpg', '', '']
INFO:root:Error merge: ['КРИС', '2259', 'магнолия', '220', 'ca834fc037c4c8adf91ea590fb446b7f.jpg', '', '']
INFO:root:Error merge: ['КРИС', '2261', 'св. бежевый', '220', '5ffcfc2fcf379d89f9f5980d932dcc53.jpg', '', '']
INFO:root:Error merge: ['КРИС', '2406', 'бежевый', '220', 'd91e8fd1514cbf7116cd828b81cd1923.jpg', '', '']
INFO:root:Error merge: ['КРИС', '2746', 'т. бежевый', '220', 'f7dbdb7b083c4e3de1e9cee5b945c1c9.jpg', '', '']
INFO:root:Error merge: ['МАНИЛА ', '225', 'белый', '200', '7aa576f7cd19046327c110df22010f46.jpg', '', '']
INFO:root:Error merge: ['МАНИЛА ', '1608', 'светло-серый', '200', '525b7d9a22b7332f57b3a50c419a9cb5.jpg', '', '']
INFO:root:Error merge: ['МАНИЛА ', '2261', 'светло-бежевый', '200', 'bd59cb996d5c9bb0dfa5734c057f8aac.jpg', '', '']
INFO:root:Error merge: ['МАНИЛА ', '2868', 'светло-коричневый', '200', 'e226a497f6415555aff2271abd7bb251.jpg', '', '']
INFO:root:Error merge: ['МАНИЛА ', '2870', 'коричневый', '200', 'b9aaf44dc8d30bba92da7b4900c04ed3.jpg', '', '']
INFO:root:Error merge: ['ПЕРГАМ', '2259', 'магнолия', '200', '9e0c28f483a5171995a459642a409291.jpg', '', '']
INFO:root:Error merge: ['ПЕРГАМ', '2406', 'бежевый', '200', 'ba61ba101a97306cc22022431e92b79f.jpg', '', '']
INFO:root:Error merge: ['ПЕРГАМ', '7122', 'золото', '200', '13c2552bdee22bebea4c942636e59a57.jpg', '', '']
INFO:root:Error merge: ['ПЕРЛ BLACK-OUT', '225', 'белый', '250', '97e29259dc4887143460d24c26930952.jpg', '', '']
INFO:root:Error merge: ['ПЕРЛ BLACK-OUT', '1852', 'серый', '250', '52a3afb267e06728af96976fe1aa6552.jpg', '', '']
INFO:root:Error merge: ['ПЕРЛ BLACK-OUT', '2261', 'св. бежевый', '250', 'ac07b4f4eaa40b7bf0a906f9f087dc2c.jpg', '', '']
INFO:root:Error merge: ['ПЕРЛ BLACK-OUT', '2868', 'св. коричневый', '250', 'f9c160e8d15a9b5e95cd19be37bbcbd6.jpg', '', '']
INFO:root:Error merge: ['ПЛЭЙН', '225', 'белый', '200', 'b6c804534c4e09438ec6dcffb4eddd71.png', '', '']
INFO:root:Error merge: ['ПЛЭЙН', '1852', 'серый', '200', 'dae0a7afef76bd4abe7e22d9cfa182d2.png', '', '']
INFO:root:Error merge: ['ПЛЭЙН', '2261', 'св. бежевый', '200', '027d30074d9e924613151a0c07bfac81.png', '', '']
INFO:root:Error merge: ['ПРИНЦ BLACK-OUT', '225', 'белый', '250', '6f9190ec356e3a2e2da49f2fcfc218be.jpg', '', '']
INFO:root:Error merge: ['САКУРА', '2261', 'бежевый', '200', '91a1216fda69f879a54ec526397980e7.jpg', '', '']
INFO:root:Error merge: ['СИДЕ', '225', 'белый', '280', 'e7087baf8860cfb83312f82ac298597b.jpg', '', '']
INFO:root:Error merge: ['СИДЕ', '1608', 'св. серый', '280', '2cdee8107eb002c7b30114cbd677953a.jpg', '', '']
INFO:root:Error merge: ['СИДЕ', '2259', 'магнолия', '280', '360df9703433630701613ff8b8bc1073.jpg', '', '']
INFO:root:Error merge: ['СИДЕ', '2406', 'бежевый', '280', '521e4195a709e6005aafc49f17cf4754.jpg', '', '']
INFO:root:Error merge: ['СКРИН 5% ALU', '225', 'белый', '250', 'bc20fce0560af64049c0b96b3127805d.jpg', '', '']
INFO:root:Error merge: ['СКРИН 5% ALU', '1608', 'св. серый', '250', '04d769e2a255591b3fe0aefa3ad44110.jpg', '', '']
INFO:root:Error merge: ['СКРИН 5% ALU', '2261', 'св. бежевый', '250', '7e9222f6f6ec3f70f7886f65aa2ecae2.jpg', '', '']
INFO:root:Error merge: ['СОУЛ', '225', 'белый', '240', '60c9dc95048b0d05c8a931fbc9625a8e.jpg', '', '']
