ID,Type,Name,Published,Visibility in catalog,Description,Tax status,Tax class,In stock?,Regular price,Categories,Images,Parent,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 1 default,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global,Attribute 3 name,Attribute 3 value(s),Attribute 3 visible,Attribute 3 global,Attribute 4 name,Attribute 4 value(s),Attribute 4 visible,Attribute 4 global,Attribute 5 name,Attribute 5 value(s),Attribute 5 visible,Attribute 5 global,Attribute 6 name,Attribute 6 value(s),Attribute 6 visible,Attribute 6 global
2537,variable,СИЛКСКРИН,1,visible,Рулонные жалюзи СИЛКСКРИН,taxable,,1,,Рулонные жалюзи,http://kubanzhalyuzi.ru/wp-content/uploads/shop/rulon/images/b03834bab272751ee1b8565a2c162103.jpg,,цвет,"белый, серый",1,0,белый,Ширина рулона (м),2.4,1,0,Страна,ГЕРМАНИЯ,1,0,price,4138.18,0,0,custom_category_link,http://kubanzhalyuzi.ru/?p=934,0,0,tone,multitone,0,0
2538,variation,СИЛКСКРИН - белый,1,visible,225,taxable,parent,0,1,,http://kubanzhalyuzi.ru/wp-content/uploads/shop/rulon/images/b03834bab272751ee1b8565a2c162103.jpg,id:2537,цвет,белый,,0,,,,,,,,,,,,,,,,,,,,,
2540,variation,СИЛКСКРИН - серый,1,visible,1608,taxable,parent,0,1,,http://kubanzhalyuzi.ru/wp-content/uploads/shop/rulon/images/d6a1e48b28908e7cd4a0c1f88a5394aa.jpg,id:2537,цвет,серый,,0,,,,,,,,,,,,,,,,,,,,,
2541,variable,СИЛЬВИЯ,1,visible,Рулонные жалюзи СИЛЬВИЯ,taxable,,1,,Рулонные жалюзи,http://kubanzhalyuzi.ru/wp-content/uploads/shop/rulon/images/96d5290bafaa35b547f105e56c17474a.jpg,,цвет,"св. серый, магнолия, св. бежевый",1,0,св. серый,Ширина рулона (м),1.95,1,0,Страна,ГЕРМАНИЯ,1,0,price,1508.69,0,0,custom_category_link,http://kubanzhalyuzi.ru/?p=934,0,0,tone,multitone,0,0
2542,variation,СИЛЬВИЯ - св. серый,1,visible,1608,taxable,parent,0,1,,http://kubanzhalyuzi.ru/wp-content/uploads/shop/rulon/images/96d5290bafaa35b547f105e56c17474a.jpg,id:2541,цвет,св. серый,,0,,,,,,,,,,,,,,,,,,,,,
2544,variation,СИЛЬВИЯ - магнолия,1,visible,2259,taxable,parent,0,1,,http://kubanzhalyuzi.ru/wp-content/uploads/shop/rulon/images/2deb7563f6aa6853b3f4886c40490a52.jpg,id:2541,цвет,магнолия,,0,,,,,,,,,,,,,,,,,,,,,
2546,variation,СИЛЬВИЯ - св. бежевый,1,visible,2261,taxable,parent,0,1,,http://kubanzhalyuzi.ru/wp-content/uploads/shop/rulon/images/597472eebc3b4c964cc4e43fbaaaac2a.jpg,id:2541,цвет,св. бежевый,,0,,,,,,,,,,,,,,,,,,,,,
2547,simple,СКАЗКА,1,visible,Рулонные жалюзи СКАЗКА,taxable,,1,,Рулонные жалюзи,http://kubanzhalyuzi.ru/wp-content/uploads/shop/rulon/images/afd5ca6073c8661ff4cf44f6ff9c858f.jpg,,цвет,белый,1,0,белый,Ширина рулона (м),2.0,1,0,Страна,ТУРЦИЯ,1,0,price,1559.21,0,0,custom_category_link,http://kubanzhalyuzi.ru/?p=934,0,0,tone,multitone,0,0
2549,variable,СКАНДИ,1,visible,Рулонные жалюзи СКАНДИ,taxable,,1,,Рулонные жалюзи,http://kubanzhalyuzi.ru/wp-content/uploads/shop/rulon/images/ec3cbca21a09702cc29583d06df0f674.jpg,,цвет,"серый, бирюзовый, салатовый",1,0,серый,Ширина рулона (м),2.0,1,0,Страна,ТУРЦИЯ,1,0,price,1559.21,0,0,custom_category_link,http://kubanzhalyuzi.ru/?p=934,0,0,tone,multitone,0,0
2550,variation,СКАНДИ - серый,1,visible,1852,taxable,parent,0,1,,http://kubanzhalyuzi.ru/wp-content/uploads/shop/rulon/images/ec3cbca21a09702cc29583d06df0f674.jpg,id:2549,цвет,серый,,0,,,,,,,,,,,,,,,,,,,,,
