name,code,color,hight,img_name,price,country
АВЕНСИС,225,белый,240,ec17b2b3761274fb5e7ff78a61df09b3.jpg,,
АВЕНСИС,1908,черный,240,8d9c8e2b7a2e2071dc0787e25d372e2d.jpg,,
АЖУР,225,белый,220,49568c1bb0dd2bc08fdb53412cd1529e.jpg,,
АЖУР,1608,св. серый,220,e2f896ca0d750c33d4ef357e96ebaf13.jpg,,
АЖУР,2261,св. бежевый,220,337b9d5ace81ad6fd09b95fa2b1f3f50.jpg,,
АЖУР,2868,св. коричневый,220,acdf39bcf3ce6d51b2918cf317be5794.jpg,,
АЖУР,3209,св. желтый,220,a05c5309fe4ab17b0f042a7c47524a0d.jpg,,
АЖУР,3465,желтый,220,791c5d9877c4aa343f73585040b4f562.jpg,,
АЖУР,3499,оранжевый,220,7dcb5d4ecce019108dd7ec1e596f63c4.jpg,,
АЖУР,4063,персиковый,220,be7beb1719e4f431db2f1cabfede61d7.jpg,,
АЖУР,4075,красный,220,97bdaa1ff38fe16d26e34b9434634998.jpg,,
АЖУР,4524,коралл,220,6bd42c1bd024b6ca27fe4c8cd73a47b0.jpg,,
АЖУР,5252,т. голубой,220,d1e6f52d665712f98600244283dc6dd3.jpg,,
АЖУР,5540,мята,220,d7055a86fadbc1e75c1888255ce425df.jpg,,
АЖУР,5612,бирюзовый,220,c36a7da0c8c23dec83e987fdfcbfdba0.jpg,,
АЖУР,5853,салатовый,220,68ffe18498112d189fda12026f8e044b.jpg,,
АЛЕХАНДРО,1908,черный,300,eb4f848510c88e9f4be4f9f4d38fe431.jpg,,
АЛИСА BLACK-OUT,225,белый,250,fb6b3e0561ddbf6fddfc000637aed7ac.jpg,,
АЛЛЕЯ,225,белый,250,4eaf11436b06e9a0fecdcb9985dad62f.jpg,,
АЛЛЕЯ,2406,бежевый,250,578f385d40b87422c97c1306661a0750.jpg,,
АЛЛЕЯ,2871,темно-коричневый,250,8df1d86669aaa3dbee7e0762bd80881d.jpg,,
АЛЬМЕРИЯ,225,белый,240,768285b0eeab9c162e48b3a99bba9430.jpg,,
АЛЬФА,225,белый,200,87f8e5d348aaf21504c5f4c7d91452b2.jpg,,
АЛЬФА,225,белый,250,14a897740101ef386d66de9700c315db.jpg,,
АЛЬФА,1852,серый,200,088d62641e3b8f59535d2e3247c6773b.jpg,,
АЛЬФА,1852,серый,250,53797db17e07cdca2a9e7c69bcaf9e92.jpg,,
АЛЬФА,1881,т.серый,200,0b7f8993b5bfe4e6a9225d88e7a8c621.jpg,,
АЛЬФА,1908,черный,200,490de72f0476558ac69b6a3fd660d1d3.jpg,,
АЛЬФА,2261,бежевый,200,69e9867ad008af506f3a50f6cc8fe4b8.jpg,,
АЛЬФА,2261,бежевый,250,2698a95af805cbae88d65023a85f1327.jpg,,
АЛЬФА,2853,терракота,200,bb6570556cecf5346f01f460a29d2b60.jpg,,
АЛЬФА,2871,т.коричневый,200,f3350a0837f36077b0064ee267cea7af.jpg,,
АЛЬФА,3310,желтый,200,e3cf078143a35cbab70f671e0991512b.jpg,,
АЛЬФА,3465,ярко-желтый,200,4c2288b064e81bffdeb9eafe20307394.jpg,,
АЛЬФА,4075,красный,200,beed2b0d7ed04a144f4eec51a0a95501.jpg,,
АЛЬФА,4082,розовый,200,7ff2cccafe1cc5569d73959c93d81abf.jpg,,
АЛЬФА,4200,малина,200,fea4a93d512cc67ae92d18a56e88c4aa.jpg,,
АЛЬФА,4240,персиковый,200,bbf9bb3f1c80d904a4dd3bb085c28388.jpg,,
АЛЬФА,4240,персиковый,250,f334adeb87f3d6833849752c955a63b7.jpg,,
АЛЬФА,4261,св.оранжевый,200,733dd96ead42b940a9b8ffe6c53e34e2.jpg,,
АЛЬФА,4290,оранжевый,200,0bc15ed8a28a7a81d79b0b561dd39bd2.jpg,,
АЛЬФА,5173,голубой,200,902b8b2ed55c63b637f49075b214845b.jpg,,
АЛЬФА,5300,синий,200,de2e962171ad6763c2fab76c65111df2.jpg,,
АЛЬФА,5713,фисташковый ,200,6366745259a92860c14ba56317dee083.jpg,,
АЛЬФА,5850,зеленый,200,6b9a10a8481efba90d25fd11605cbd29.jpg,,
АЛЬФА,5992,бирюзовый,200,61c06ff5c61d7ffb50e484d3223ee3b1.jpg,,
АЛЬФА ALU BLACK-OUT,225,белый,250,df118420b81571f2e25063eefbed0183.png,,
АЛЬФА ALU BLACK-OUT,1852,серый,250,27fc8b19f52151657559f31c3f7a8bea.png,,
АЛЬФА ALU BLACK-OUT,1881,т. серый,250,240d85f37cbbac95f5423ef900b06460.png,,
АЛЬФА ALU BLACK-OUT,2261,св. бежевый,250,5bb9ecd51badb62f77d5ba165642a645.png,,
АЛЬФА ALU BLACK-OUT,2406,бежевый,250,6ed04ae51fe8c643a3f9add1e5a017b5.jpg,,
АЛЬФА ALU BLACK-OUT,2868,св. коричневый,250,0ef8e0c7cface706e6ce1ea7e6bf1a6c.jpg,,
АЛЬФА ALU BLACK-OUT,2871,т. коричневый,250,a60b20f2ac0143d30491b904ed3659a3.png,,
АЛЬФА BLACK-OUT,225,белый,250,d6207132d910e96ae5048dbf012bfde7.jpg,,
АЛЬФА BLACK-OUT,1852,серый,250,f1f4f38f8da58c9ed7b524ff49ce01af.jpg,,
АЛЬФА BLACK-OUT,1908,черный,250,fac4ea89d55858ec892858ddced8ff07.jpg,,
АЛЬФА BLACK-OUT,2261,бежевый,250,b4609a137a6b6b1046702a6d3d1e691f.jpg,,
АЛЬФА BLACK-OUT,2746,т.бежевый,250,10905861f115d123788b84c9dd9dbbc2.jpg,,
АЛЬФА BLACK-OUT,2868,св.коричневый,250,75897ae18ade95c27dcc2ecc888fe1ef.jpg,,
АЛЬФА BLACK-OUT,4240,персиковый,250,233cc02ed66461bb5f8b0b03e526c895.jpg,,
АЛЬФА BLACK-OUT,5173,голубой,250,6e8165125ac90c850a6d052381b7e94a.jpg,,
АЛЬФА BLACK-OUT,5300,синий,250,db0efab31e52227db65b608ae8e7b8eb.jpg,,
АЛЬФА BLACK-OUT,5850,зеленый,250,7dc8a48672f635b00181cc77d45499ca.jpg,,
АНЖУ,1608,св.серый,200,21546c6c0c67483b0e2a78755908a86c.jpg,,
АНЖУ,2261,св.бежевый,200,f0e7a394c3f35aaf856deec2e91d7564.jpg,,
АНЖУ,4284,лиловый,200,bebe71449bdc4338479528f83fd45876.jpg,,
АНТАРЕС BLACK-OUT,225,белый,300,2f6cfcb5d71237b3a4abd2fa3399a79d.jpg,,
АНТАРЕС BLACK-OUT,1608,св. серый,300,939b051334504fef16ab1c08801b4af8.jpg,,
АНТАРЕС BLACK-OUT,1852,серый,300,d91da106d592774b0ee1e595f3fe4f1e.jpg,,
АНТАРЕС BLACK-OUT,2261,св. бежевый,300,070d05f45f234ae3db1688d9fc798c32.jpg,,
АРИАДНА,225,белый,195,548b72a28d18b2ed42f5338e695dd654.jpg,,
АСИЕНДА,3144,ваниль,280,89ffd4ee4243143acb3452d7724cc9fd.png,,
АСИЕНДА,4081,розовый,280,aa56d4997f38de6d837c04aa087d50df.png,,
АСИЕНДА,5150,голубой,280,d4b7d52833e950e05c5ce2fb63051639.png,,
БАБОЧКИ,4082,розовый,200,e1dd03b2c809d0fcba0c9ff9bb368753.jpg,,
БАМБУК,2259,магнолия,240,0a74dc311739b5fb90f1778e56005355.jpg,,
БЛАНШ ,225,белый,235,cd06bc1633d3e9348546ddfd16ebdd8b.png,,
БЛАНШ ,1852,серый,230,5746dcbbfad261ada1e77b43b19e3fab.png,,
БЛЮЗ,225,белый,200,1a7d7228a5f3f4ec36d6d543da2e81b9.jpg,,
БОЛГАРСКАЯ роза,4059,розовый,200,16ab69cb279dfbd94d51f4f103c7a56e.jpg,,
БОСТОН,2259,магнолия,250,2efacb75a45005b11a1fd4692a6edb30.jpg,,
БОСТОН,2261,св. бежевый,250,96d323537629407062d1c2eee55b3cab.jpg,,
БОСТОН,2406,бежевый,250,17ac1d75012294e4ad98bf0f701f2c68.jpg,,
БОСТОН,2868,св. коричневый,250,c3e5df214ce02542c6fedeaf65ad0af6.jpg,,
БУХАРА BLACK-OUT,7013,серебро,210,88139f9c75eb5ca837620b788cdda6dc.jpg,,
БУХАРА BLACK-OUT,7122,золото,210,108d4555003ce6974095821dec6730dc.jpg,,
БЬЯНКА,225,белый,240,8610877489796df5719efc8690c2c97d.jpg,,
ВЕНЕЦИЯ,225,белый,240,5aa1799127024803dec36fa1b0778528.jpg,,
ВЕНЕЦИЯ,1852,серый,240,b3a3f10491f576dcbcdcfd6ed9c7436b.jpg,,
ВИНТАЖ,225,белый,200,a044cef9e57609b03b154952c5fd4cca.jpg,,
ВУАЛЬ,225,белый,240,d489c08997db2a1b2464de21df145a2d.png,,
ГАВАНА,2259,светло-бежевый,240,8c8c0b1978a7122ae2c3f498a5208969.png,,
ГАВАНА,4300,терракота,240,c5dcf84b92924289ffbef398a84f1a81.png,,
ГАЛА BLACK-OUT,225,белый,230,2905cafbe83d9f4ecbe77be4c4042c38.jpg,,
ГАЛА BLACK-OUT,1852,серый,230,61d7b1393c1131b49d073f7d41849f22.jpg,,
ГАЛА BLACK-OUT,2261,св. бежевый,230,9411cb98f6478abfce8bae1de4879c14.jpg,,
ГАЛА BLACK-OUT,2406,бежевый,230,e2d5b342386238b3a19757a2025b729d.jpg,,
ГАРМОНИЯ,225,белый,180,19806920e9c49e1ed6db655df4a8069a.jpg,,
ГАРМОНИЯ,2550,кремовый,180,0b97a658742ca62753f3c68cba3b7ebe.jpg,,
ГАРМОНИЯ,2850,св.коричневый,180,322dc7e4275781b3fc6a01971a966d72.jpg,,
ГАРМОНИЯ,4300,терракота,180,2245072ddcdc5ae875c2799ef2907e89.jpg,,
ГЛИТТЕР,225,белый,240,725ccda0e5048053b24710e43dd660a4.jpg,,
ГЛИТТЕР,1852,серый,240,0d0fd902efbf0caac6ddfa323a1bc021.jpg,,
ГЛИТТЕР,1854,графит,240,c58e4246dbcfbfb27ac6215a948e4912.jpg,,
ГЛИТТЕР,2406,бежевый,240,fb877704a4cad1f07f322b6d05073744.jpg,,
ГЛИТТЕР BLACK-OUT,225,белый,240,471fb21d57a0a188631a94efaff75834.jpg,,
ГЛИТТЕР BLACK-OUT,1852,серый,240,238a07e6a219c0edb51952066a736fa3.jpg,,
ГЛИТТЕР BLACK-OUT,2406,бежевый,240,66ba19d1f58ff738639062e1917bd0ae.jpg,,
ГУАНА,1608,св. серый,200,38dddac6c59ac115c97cabe9d23476e4.jpg,,
ГУАНА,2259,магнолия,200,8be9986a0c2c9fd8ac86b62ae32df2c3.jpg,,
ГУАНА,2406,бежевый,200,72a9aa9cfa65a13b97d32bc2f1215c16.jpg,,
ДАЛЛАС,225,белый,240,70cb14cd73901339b944cf5f65783418.jpg,,
ДАЛЛАС,1852,серый,240,14a053c953a051b80c50c3499afdcfaf.jpg,,
ДЕОН,5470,т. синий,240,60930e645e93df758b241f5f53cdcf4f.jpg,,
ДЖУНГЛИ,225,белый,240,7269b99fa59a02c8a6b2f071145649ec.jpg,,
ЖЕМЧУГ,2406,бежевый,200,23daff09b3fc7321932dcfe4f32c168e.jpg,,
ЖЕМЧУГ,3465,золотистый,200,92d09eb1d0189ebc9ee7040a18fb8456.jpg,,
ЖЕМЧУГ,4063,персиковый,200,2c32a7aca912886f6d9fed358da58f6d.jpg,,
ЖЕМЧУГ,4284,лиловый,200,f68faecbaf6b7022fd79612f3c8d3c6e.jpg,,
ЖЕМЧУГ,5540,оливковый,200,923c8810321f10a30d81d320cbc351d8.jpg,,
ИМПАЛА,2259,св. бежевый,240,4410d7b987adf89ebd1af4611d05c276.jpg,,
ИМПАЛА,2406,бежевый,240,1bf3a1b0c37e56f13be16479db69f209.jpg,,
ИМПАЛА,4071,красный,240,71eaae3b3f3ea6ae2c9e4523c1b12891.jpg,,
ИМПАЛА,5850,зеленый,240,29fe2241bf95c485d58b346737763b81.jpg,,
ИМПАЛА BLACK-OUT,2406,бежевый,240,8ec065b2cfb3ed8d3527ac578293ad3a.jpg,,
КАЛИПСО,225,белый,200,8dab278ad7e8e9603b745d767634b7b5.jpg,,
КАЛИПСО,2261,слоновая кость,200,4fa337efe09e7867492c4877cb448023.jpg,,
КАЛИПСО,2406,бежевый,200,493db9743267622e68262fabc0f52178.jpg,,
КАЛИПСО,2871,коричневый,200,ef75c6f73522dd600c9d2b2def1c5d3f.jpg,,
КАМЕЛИЯ,1608,св. серый,280,a938c7b63698d9342301fcdd67e0ea75.jpg,,
КАМЕЛИЯ,2406,св.бежевый,280,554822173fa846e5e8d08c6bf49bcf79.jpg,,
КАМЕЛИЯ,4059,розовый,280,08139017d3b30331c8dfd27b3c2629a8.jpg,,
КАМЕЛИЯ,4240,персик,280,4237cad430b4c193a674dca80a388a19.jpg,,
КАПУР,225,белый,200,4f1be251b7117da1e1cc54c81f64254b.png,,
КАПУР,2870,коричневый,200,e02e5de222efef38f557bbd057aa51d0.png,,
КАРОЛИНА,225,белый,240,a46d77db150d1882e285a8dbe4396950.jpg,,
КАРОЛИНА,1852,серый,240,cd3774bd8be90931a11055488363e583.jpg,,
КАРОЛИНА,2406,бежевый,240,f30e4b040ccacb74a26dea47acb8e331.jpg,,
Китайская роза,2870,коричневый,200,ffb427669d4a9e98b5c1f67454688df8.png,,
КОНГО BLACK-OUT,1852,серый,240,5bfe3fc3ad5ea54fd1ec0e0f11df47a3.jpg,,
КРИС,225,белый,220,ec7f13af2cd808f97391fb0a2c0c3369.jpg,,
КРИС,1608,св. серый,220,3ce329f1c25f0a063a2e584ac23a6561.jpg,,
КРИС,1852,серый,220,60ef807a6092a519acad8678b9d492d5.jpg,,
КРИС,2259,магнолия,220,ca834fc037c4c8adf91ea590fb446b7f.jpg,,
КРИС,2261,св. бежевый,220,5ffcfc2fcf379d89f9f5980d932dcc53.jpg,,
КРИС,2406,бежевый,220,d91e8fd1514cbf7116cd828b81cd1923.jpg,,
КРИС,2746,т. бежевый,220,f7dbdb7b083c4e3de1e9cee5b945c1c9.jpg,,
КРИС BLACK-OUT,225,белый,220,5c5d7a362b3af4009c50b87b84ef7214.jpg,,
КРИС BLACK-OUT,2259,магнолия,220,ad064dc194a5bf3bf9dc9152756608ea.jpg,,
